Wsk_efek_pp;KPI_epp;KPI_sprzedaz;KPI_ek;Cel_SprzedażyMiesięcznej;Region2;Imię i nazwisko;Number of Records;Oddział (copy);Oddział;Region;czas rozmowy (bin);czas rozmowy;data rozmowy (copy);data rozmowy;kwota zakupu (bin);kwota zakupu;numer klienta;przedstawiciel (klienci4 H2:K7);przedstawiciel
0,001467290;źle;Źle;klient;94,2;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;107;18.08.2013;18.08.2013;Średnie zakupy;157;8;P04;P04
0,002266667;źle;Źle;klient;122,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;90;06.10.2013;06.10.2013;Duże zakupu;204;10;P05;P05
0,001474576;źle;Źle;klient;104,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;118;25.08.2013;25.08.2013;Średnie zakupy;174;4;P02;P02
0,002216216;źle;Źle;klient;98,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;74;28.09.2013;28.09.2013;Średnie zakupy;164;2;P05;P05
0,000602339;źle;Źle;klient;61,8;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;171;18.08.2013;18.08.2013;Średnie zakupy;103;1;P01;P01
0,000970760;źle;Źle;klient;99,6;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;171;26.10.2013;26.10.2013;Średnie zakupy;166;4;P01;P01
0,002583333;źle;Źle;klient;74,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;48;17.10.2013;17.10.2013;Średnie zakupy;124;15;P05;P05
0,0011;źle;Źle;klient;99;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;150;27.09.2013;27.09.2013;Średnie zakupy;165;12;P01;P01
0,000917647;źle;Źle;klient;46,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;85;27.10.2013;27.10.2013;Niewielki zakupy;78;3;P02;P02
0,001169231;źle;Źle;klient;45,6;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;65;10.08.2013;10.08.2013;Niewielki zakupy;76;3;P01;P01
0,001136752;źle;Źle;klient;79,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;117;21.08.2013;21.08.2013;Średnie zakupy;133;10;P02;P02
0,004040816;źle;Źle;klient;118,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;49;28.08.2013;28.08.2013;Duże zakupu;198;9;P05;P05
0,001632812;źle;Źle;klient;125,4;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;dłuugo;128;25.08.2013;25.08.2013;Duże zakupu;209;11;P04;P04
0,000671533;źle;Źle;klient;55,2;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;137;17.09.2013;17.09.2013;Średnie zakupy;92;11;P03;P03
0,000573333;źle;Źle;klient;25,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;75;26.09.2013;26.09.2013;Niewielki zakupy;43;11;P05;P05
0,003833333;źle;Źle;klient;96,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;42;31.08.2013;31.08.2013;Średnie zakupy;161;6;P04;P04
0,001045977;źle;Źle;klient;109,2;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;174;10.10.2013;10.10.2013;Duże zakupu;182;2;P03;P03
0,000765957;źle;Źle;klient;64,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;141;14.10.2013;14.10.2013;Średnie zakupy;108;11;P05;P05
0,001517241;źle;Źle;klient;52,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;58;29.10.2013;29.10.2013;Niewielki zakupy;88;6;P05;P05
0,002133333;źle;Źle;klient;76,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;60;16.08.2013;16.08.2013;Średnie zakupy;128;10;P05;P05
0,0785;źle;Źle;klient;94,2;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;2;20.08.2013;20.08.2013;Średnie zakupy;157;8;P01;P01
0,003153846;źle;Źle;klient;24,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;13;04.10.2013;04.10.2013;Niewielki zakupy;41;4;P04;P04
0,000268571;źle;Źle;klient;28,2;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;175;23.09.2013;23.09.2013;Niewielki zakupy;47;8;P02;P02
0,001248521;źle;Źle;klient;126,6;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;169;02.08.2013;02.08.2013;Duże zakupu;211;7;P05;P05
0,000349206;źle;Źle;klient;26,4;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;126;28.09.2013;28.09.2013;Niewielki zakupy;44;7;P01;P01
0,0013125;źle;Źle;klient;75,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;96;27.08.2013;27.08.2013;Średnie zakupy;126;6;P04;P04
0,000647059;źle;Źle;klient;52,8;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;136;13.08.2013;13.08.2013;Niewielki zakupy;88;6;P01;P01
0,005043478;źle;Źle;klient;69,6;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;krótko;23;19.10.2013;19.10.2013;Średnie zakupy;116;5;P03;P03
0,001625;źle;Źle;klient;39;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;40;03.10.2013;03.10.2013;Niewielki zakupy;65;11;P02;P02
0,000443038;źle;Źle;klient;42;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;158;15.10.2013;15.10.2013;Niewielki zakupy;70;9;P03;P03
0,012785714;źle;Źle;klient;107,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;14;09.09.2013;09.09.2013;Średnie zakupy;179;4;P05;P05
0,000686131;źle;Źle;klient;56,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;137;23.09.2013;23.09.2013;Średnie zakupy;94;11;P02;P02
0,000744048;źle;Źle;klient;75;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;168;08.10.2013;08.10.2013;Średnie zakupy;125;4;P02;P02
0,000945946;źle;Źle;klient;63;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;111;13.09.2013;13.09.2013;Średnie zakupy;105;5;P01;P01
0,001885246;źle;Źle;klient;69;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;61;29.08.2013;29.08.2013;Średnie zakupy;115;6;P03;P03
0,001;źle;Źle;klient;83,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;139;12.09.2013;12.09.2013;Średnie zakupy;139;7;P02;P02
0,000717391;źle;Źle;klient;59,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;138;23.10.2013;23.10.2013;Średnie zakupy;99;5;P05;P05
0,001428571;źle;Źle;klient;54;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;63;16.08.2013;16.08.2013;Średnie zakupy;90;10;P05;P05
0,001314815;źle;Źle;klient;42,6;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;54;16.09.2013;16.09.2013;Niewielki zakupy;71;10;P02;P02
0,002944444;źle;Źle;klient;63,6;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;krótko;36;25.08.2013;25.08.2013;Średnie zakupy;106;3;P03;P03
0,017375;źle;Źle;klient;83,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;8;06.08.2013;06.08.2013;Średnie zakupy;139;4;P05;P05
0,000726415;źle;Źle;klient;46,2;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;106;24.10.2013;24.10.2013;Niewielki zakupy;77;2;P01;P01
0,000338710;źle;Źle;klient;25,2;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;124;20.09.2013;20.09.2013;Niewielki zakupy;42;11;P03;P03
0,00125;źle;Źle;klient;87;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;116;20.08.2013;20.08.2013;Średnie zakupy;145;5;P05;P05
0,0186;źle;Źle;klient;55,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;5;16.10.2013;16.10.2013;Średnie zakupy;93;9;P02;P02
0,002438356;źle;Źle;klient;106,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;73;11.09.2013;11.09.2013;Średnie zakupy;178;7;P02;P02
0,000642857;źle;Źle;klient;32,4;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;84;16.08.2013;16.08.2013;Niewielki zakupy;54;10;P04;P04
0,000565217;źle;Źle;klient;23,4;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;69;20.09.2013;20.09.2013;Niewielki zakupy;39;10;P03;P03
0,001234848;źle;Źle;klient;97,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;132;04.08.2013;04.08.2013;Średnie zakupy;163;7;P02;P02
0,003272727;źle;Źle;klient;129,6;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;66;09.08.2013;09.08.2013;Duże zakupu;216;3;P02;P02
0,001475806;źle;Źle;klient;109,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;124;22.10.2013;22.10.2013;Duże zakupu;183;5;P02;P02
0,003375;źle;Źle;klient;129,6;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;64;17.10.2013;17.10.2013;Duże zakupu;216;6;P01;P01
0,001391304;źle;Źle;klient;76,8;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;92;30.10.2013;30.10.2013;Średnie zakupy;128;10;P01;P01
0,000353293;źle;Źle;klient;35,4;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;167;05.08.2013;05.08.2013;Niewielki zakupy;59;2;P03;P03
0,007043478;źle;Źle;klient;97,2;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;23;23.08.2013;23.08.2013;Średnie zakupy;162;6;P01;P01
0,003447368;źle;Źle;klient;78,6;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;38;03.09.2013;03.09.2013;Średnie zakupy;131;4;P05;P05
0,004321429;źle;Źle;klient;72,6;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;28;02.09.2013;02.09.2013;Średnie zakupy;121;5;P02;P02
0,002695652;źle;Źle;klient;37,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;23;21.09.2013;21.09.2013;Niewielki zakupy;62;6;P05;P05
0,000275229;źle;Źle;klient;18;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;109;26.08.2013;26.08.2013;Niewielki zakupy;30;6;P03;P03
0,010526316;źle;Źle;klient;120;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;19;10.09.2013;10.09.2013;Duże zakupu;200;3;P05;P05
0,001542373;źle;Źle;klient;54,6;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;krótko;59;25.09.2013;25.09.2013;Średnie zakupy;91;3;P03;P03
0,00225;źle;Źle;klient;48,6;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;36;06.09.2013;06.09.2013;Niewielki zakupy;81;7;P02;P02
0,003222222;źle;Źle;klient;52,2;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;27;10.10.2013;10.10.2013;Niewielki zakupy;87;7;P04;P04
0,000902299;źle;Źle;klient;94,2;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;174;06.10.2013;06.10.2013;Średnie zakupy;157;2;P01;P01
0,006714286;źle;Źle;klient;56,4;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;krótko;14;16.09.2013;16.09.2013;Średnie zakupy;94;10;P03;P03
0,0408;źle;Źle;klient;122,4;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;5;02.10.2013;02.10.2013;Duże zakupu;204;11;P01;P01
0,002063830;źle;Źle;klient;58,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;47;21.10.2013;21.10.2013;Średnie zakupy;97;7;P05;P05
0,001848485;źle;Źle;klient;36,6;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;33;26.09.2013;26.09.2013;Niewielki zakupy;61;7;P02;P02
0,00375;źle;Źle;klient;72;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;32;26.10.2013;26.10.2013;Średnie zakupy;120;2;P05;P05
0,000467391;źle;Źle;klient;25,8;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;92;16.08.2013;16.08.2013;Niewielki zakupy;43;3;P03;P03
0,002337209;źle;Źle;klient;120,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;86;22.08.2013;22.08.2013;Duże zakupu;201;5;P04;P04
0,001041096;źle;Źle;klient;45,6;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;73;08.10.2013;08.10.2013;Niewielki zakupy;76;7;P05;P05
0,000371257;źle;Źle;klient;37,2;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;dłuugo;167;08.09.2013;08.09.2013;Niewielki zakupy;62;10;P04;P04
0,000592593;źle;Źle;klient;38,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;108;20.08.2013;20.08.2013;Niewielki zakupy;64;10;P05;P05
0,002133333;źle;Źle;klient;57,6;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;krótko;45;28.10.2013;28.10.2013;Średnie zakupy;96;5;P03;P03
0,001819048;źle;Źle;klient;114,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;105;12.08.2013;12.08.2013;Duże zakupu;191;6;P04;P04
0,001648649;źle;Źle;klient;36,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;37;01.09.2013;01.09.2013;Niewielki zakupy;61;7;P04;P04
0,000888889;źle;Źle;klient;76,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;144;20.09.2013;20.09.2013;Średnie zakupy;128;6;P02;P02
0,001133803;źle;Źle;klient;96,6;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;142;31.08.2013;31.08.2013;Średnie zakupy;161;2;P01;P01
0,000757009;źle;Źle;klient;48,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;107;15.09.2013;15.09.2013;Niewielki zakupy;81;3;P04;P04
0,001367347;źle;Źle;klient;80,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;98;10.09.2013;10.09.2013;Średnie zakupy;134;2;P02;P02
0,001966667;źle;Źle;klient;35,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;30;26.08.2013;26.08.2013;Niewielki zakupy;59;3;P05;P05
0,007217391;źle;Źle;klient;99,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;23;27.10.2013;27.10.2013;Średnie zakupy;166;4;P04;P04
0,000420635;źle;Źle;klient;31,8;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;dłuugo;126;24.08.2013;24.08.2013;Niewielki zakupy;53;9;P04;P04
0,001095745;źle;Źle;klient;61,8;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;94;25.10.2013;25.10.2013;Średnie zakupy;103;2;P03;P03
0,002333333;źle;Źle;klient;29,4;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;krótko;21;02.08.2013;02.08.2013;Niewielki zakupy;49;10;P03;P03
0,004285714;źle;Źle;klient;36;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;14;08.10.2013;08.10.2013;Niewielki zakupy;60;2;P05;P05
0,000476190;źle;Źle;klient;42;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;147;20.10.2013;20.10.2013;Niewielki zakupy;70;5;P03;P03
0,002243590;źle;Źle;klient;105;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;78;01.10.2013;01.10.2013;Średnie zakupy;175;3;P01;P01
0,001656489;źle;Źle;klient;130,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;131;03.09.2013;03.09.2013;Duże zakupu;217;10;P05;P05
0,001012048;źle;Źle;klient;100,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;166;29.09.2013;29.09.2013;Średnie zakupy;168;8;P05;P05
0,002410714;źle;Źle;klient;81;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;56;17.08.2013;17.08.2013;Średnie zakupy;135;2;P02;P02
0,012714286;źle;Źle;klient;53,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;7;01.09.2013;01.09.2013;Niewielki zakupy;89;6;P02;P02
0,002626667;źle;Źle;klient;118,2;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;75;11.10.2013;11.10.2013;Duże zakupu;197;5;P03;P03
0,00173;źle;Źle;klient;103,8;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;100;20.10.2013;20.10.2013;Średnie zakupy;173;10;P03;P03
0,001268456;źle;Źle;klient;113,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;149;05.08.2013;05.08.2013;Duże zakupu;189;7;P05;P05
0,001551724;źle;Źle;klient;27;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;29;22.09.2013;22.09.2013;Niewielki zakupy;45;9;P05;P05
0,000983193;źle;Źle;klient;70,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;119;28.08.2013;28.08.2013;Średnie zakupy;117;4;P05;P05
0,000594059;źle;Źle;klient;36;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;101;11.10.2013;11.10.2013;Niewielki zakupy;60;7;P01;P01
0,000351852;źle;Źle;klient;34,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;162;30.08.2013;30.08.2013;Niewielki zakupy;57;6;P05;P05
0,001306122;źle;Źle;klient;115,2;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;147;10.09.2013;10.09.2013;Duże zakupu;192;10;P01;P01
0,094;źle;Źle;klient;112,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;2;25.08.2013;25.08.2013;Duże zakupu;188;8;P05;P05
0,000838095;źle;Źle;klient;52,8;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;średnio;105;26.08.2013;26.08.2013;Niewielki zakupy;88;2;P05;P05
0,001107143;źle;Źle;klient;55,8;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;84;09.10.2013;09.10.2013;Średnie zakupy;93;7;P04;P04
0,000206704;źle;Źle;klient;22,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;179;04.08.2013;04.08.2013;Niewielki zakupy;37;2;P05;P05
0,000946237;źle;Źle;klient;52,8;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;93;10.08.2013;10.08.2013;Niewielki zakupy;88;8;P01;P01
0,002780488;źle;Źle;klient;68,4;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;41;16.10.2013;16.10.2013;Średnie zakupy;114;5;P01;P01
0,00553125;źle;Źle;klient;106,2;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;32;18.08.2013;18.08.2013;Średnie zakupy;177;11;P02;P02
0,000405405;źle;Źle;klient;36;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;148;19.10.2013;19.10.2013;Niewielki zakupy;60;7;P01;P01
0,000542373;źle;Źle;klient;38,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;118;26.09.2013;26.09.2013;Niewielki zakupy;64;11;P02;P02
0,001786517;źle;Źle;klient;95,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;89;19.10.2013;19.10.2013;Średnie zakupy;159;10;P02;P02
0,004466667;źle;Źle;klient;40,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;15;03.08.2013;03.08.2013;Niewielki zakupy;67;6;P05;P05
0,000707865;źle;Źle;klient;75,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;dłuugo;178;11.10.2013;11.10.2013;Średnie zakupy;126;10;P04;P04
0,002488889;źle;Źle;klient;67,2;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;45;06.10.2013;06.10.2013;Średnie zakupy;112;3;P04;P04
0,000456897;źle;Źle;klient;31,8;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;116;30.09.2013;30.09.2013;Niewielki zakupy;53;4;P03;P03
0,002424242;źle;Źle;klient;48;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;33;19.09.2013;19.09.2013;Niewielki zakupy;80;5;P01;P01
0,004571429;źle;Źle;klient;115,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;krótko;42;06.10.2013;06.10.2013;Duże zakupu;192;7;P05;P05
0,002869565;źle;Źle;klient;118,8;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;69;03.10.2013;03.10.2013;Duże zakupu;198;2;P01;P01
0,001340206;źle;Źle;klient;78;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;97;10.10.2013;10.10.2013;Średnie zakupy;130;4;P04;P04
0,000448718;źle;Źle;klient;42;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;156;27.08.2013;27.08.2013;Niewielki zakupy;70;7;P02;P02
0,008823529;źle;Źle;klient;90;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;17;30.08.2013;30.08.2013;Średnie zakupy;150;2;P01;P01
0,000980263;źle;Źle;klient;89,4;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;dłuugo;152;23.09.2013;23.09.2013;Średnie zakupy;149;3;P01;P01
